"subject.id" "activity.label" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
1 "WALKING" 0.274847235170317 -0.0176702787276945 -0.103811239872622 0.658828450585014 0.0138450724919308 0.0914303191777233 0.0827818584775216 0.0137129510077723 -0.0129882069397032 -0.0339668226829107 -0.0710821189945245 0.0918213225936023 -0.105590549444957 -0.0372334094051873 -0.0535317272138905 -0.537164044879222 -0.537164044879222 -0.64923669655562 -0.596748317631095 -0.754696426512968 -0.622586528835735 -0.540228965241844 -0.657853367348127 -0.65754818995879 -0.632550397702277 -0.745515674566571 -0.676137312007781 -0.692751345394525 -0.644046778995101 -0.579839738325648 -0.619478849606628 -0.685328862792795 -0.770610264129683 -0.599761180163689 -0.50550570475706 -0.591460214795389 -0.96446744795389 -0.960365880691643 -0.936409037089337 -0.639369764016427 -0.608714365080406 -0.762616804219827 -0.726360532913545 -0.663516795005764 -0.655167629962536 -0.728671266551297 -0.774769161576369 -0.741117223293948 -0.580427689908934 -0.580427689908934 -0.627488500591066 -0.648893898146974 -0.768488164195965 -0.592457201743516 -0.520452935756484 -0.590700035072536 -0.653374202176657 -0.609687412929395 -0.778806573599424 -0.744016743976945 -0.652915997066282 -0.692423869985591 -0.647721310518732 -0.641115726644092 -0.687762260123631 -0.783133581101441
2 "WALKING_UPSTAIRS" 0.276515970166667 -0.0185407457611667 -0.109717153183333 0.54746178 0.11553910712 0.153332191166667 0.0774977486383333 0.0143773538111667 -0.0283927471891667 -0.0388610491883333 -0.0955953375166667 0.0615456784 -0.0833610010516667 -0.0363275807416667 -0.03111957063 -0.621391199266667 -0.621391199266667 -0.68910173473 -0.651270984083333 -0.79155887475 -0.685952602001667 -0.593963917733333 -0.723812236333333 -0.698329127238333 -0.670186887383333 -0.783090705166667 -0.699833340716667 -0.754631764566667 -0.67297534925 -0.652082898033333 -0.66904175665 -0.736223434833333 -0.811650879933333 -0.669760197916667 -0.570047068783333 -0.689147017316667 -0.9735595535 -0.9663627735 -0.956833614666667 -0.678968090366667 -0.651911570166667 -0.7998074305 -0.752527342666667 -0.73705161645 -0.683365726416667 -0.767695676266667 -0.8196934397 -0.757419181333333 -0.660742213578333 -0.660742213578333 -0.676865423533333 -0.7034279874 -0.812342652716667 -0.6644072142 -0.586157009616667 -0.6952696328 -0.68787804885 -0.655758811783333 -0.815370202 -0.770409319166667 -0.730566402116667 -0.717947763866667 -0.719038700383333 -0.689600944233333 -0.7358306056 -0.827189766
2 "WALKING_DOWNSTAIRS" 0.278052343760684 -0.0170841396438846 -0.110539597636752 0.643717010525641 0.0105685439517094 0.12710325170641 0.0874709651230769 0.00136204550155128 -0.00986402422017949 -0.047592961555812 -0.0583090780247863 0.093404307233547 -0.0944736989006838 -0.0387138505230769 -0.0545721015183761 -0.58558591354188 -0.58558591354188 -0.673214344882051 -0.635517737704274 -0.786519869615385 -0.636537063405983 -0.580072492086538 -0.692010839047009 -0.660074967394568 -0.661646587703419 -0.76417297834188 -0.700592810588889 -0.732312896786752 -0.658922419653846 -0.61146505742735 -0.628635738491453 -0.726930077340171 -0.798069940175214 -0.629897439286752 -0.555112419562393 -0.648867058052991 -0.97140976957265 -0.960989082136752 -0.941994943418803 -0.64542225165641 -0.645980070619316 -0.783178339064103 -0.752821995632479 -0.712054801405556 -0.662876146640171 -0.756560731980769 -0.808134070982906 -0.754433807903846 -0.620139327290598 -0.620139327290598 -0.634909900836752 -0.696519908533333 -0.795174286905983 -0.628420786380342 -0.571903212481197 -0.654745977789316 -0.662721726696581 -0.653568105594487 -0.801015127760684 -0.770903334376068 -0.705085843055556 -0.696897512529914 -0.685466819296581 -0.645790473639744 -0.730176822747863 -0.806435477564103
3 "WALKING_UPSTAIRS" 0.275532923734177 -0.0191457214763291 -0.105293053427215 0.647370926699367 0.020660712843038 0.0866053119075949 0.0704958960376899 0.0116811799508814 0.00185027358954114 -0.0281705991263291 -0.0692905949683544 0.0816102206585443 -0.0985154812364873 -0.0396279794056646 -0.0397352993401899 -0.573310921893291 -0.573310921893291 -0.667543049909177 -0.624436573386709 -0.757451311965506 -0.651851758971835 -0.557228415522785 -0.670014739887975 -0.680547186084177 -0.647959437166139 -0.749595312651899 -0.691595192705696 -0.700846806938924 -0.657897442916772 -0.613309921546519 -0.642110872297848 -0.694938237649051 -0.772745318676266 -0.643764213590823 -0.529264612464905 -0.617237151672785 -0.967608462658228 -0.957410020981013 -0.932476587974684 -0.665445484941266 -0.627268951402215 -0.76783753934462 -0.741750905701266 -0.680405065352373 -0.664013220123418 -0.737160588338291 -0.774497893243671 -0.746990709003165 -0.619150059711392 -0.619150059711392 -0.65051674297943 -0.666245728616456 -0.770401584613924 -0.642041048436392 -0.545927585357975 -0.621442280108861 -0.680135962312342 -0.630865520693987 -0.784874078774335 -0.759118201087658 -0.673834147041456 -0.698990848291139 -0.683843676871835 -0.664267319710127 -0.707430324267405 -0.784418648294304
4 "WALKING_DOWNSTAIRS" 0.272160345677419 -0.0171738194575269 -0.1026994385 0.674498690537634 0.00638702716290323 0.0906566987870968 0.0747165446481183 0.00437338203461828 0.00461630540284946 -0.0302046769069893 -0.0824187417800538 0.0908855960978494 -0.0997584645069355 -0.033450937161828 -0.0562321842826882 -0.599886581025677 -0.599886581025677 -0.678201516435484 -0.650839104775806 -0.787084975053764 -0.65823492539086 -0.560943163299462 -0.71156388060215 -0.683612957908602 -0.644671713714516 -0.775971027526882 -0.699710877306452 -0.743182974793925 -0.671053837391398 -0.618734893854409 -0.640616468043011 -0.732059952543011 -0.798782927537634 -0.652976820395699 -0.535298804887097 -0.6753012055 -0.961152066344086 -0.958339464462366 -0.94422565 -0.666376255688172 -0.621239205719247 -0.793171796774193 -0.738346943833333 -0.727125488498387 -0.677633976019355 -0.754153631994624 -0.809769691989247 -0.757465399962366 -0.630462765173527 -0.630462765173527 -0.644178692527957 -0.704279554801075 -0.79771647983871 -0.652040158891667 -0.552747601308065 -0.682220937924731 -0.678824636010753 -0.621650054596774 -0.809110846612903 -0.752468761973118 -0.721778585021505 -0.711228708612903 -0.696556047471505 -0.651515594105108 -0.738289445591398 -0.810906969408602
4 "SITTING" 0.262214247835821 -0.0163439523570149 -0.107582425171642 0.664836539328358 -0.0341080205 0.0611119257514925 0.0842687197014925 -0.0215770462431343 0.0143282398715672 -0.0603912894089552 -0.0482234794310448 0.111583703906343 -0.106475533255224 -0.0192106481302239 -0.0700395173343284 -0.50748751508806 -0.50748751508806 -0.614766975216418 -0.558795470832836 -0.750639463328358 -0.586079654397015 -0.482288997084328 -0.632388372798507 -0.617216006070896 -0.592361512629105 -0.719908177731343 -0.646361745400075 -0.683906903343284 -0.59925779753209 -0.544785120689552 -0.575708119201492 -0.684298749947761 -0.768988266940299 -0.57648282880597 -0.446578149552537 -0.576926225574627 -0.949722358134328 -0.930503501141791 -0.932932053410448 -0.598478014761194 -0.570197029406716 -0.74065483238806 -0.697294837470149 -0.660008292858209 -0.607913380672388 -0.721994953977612 -0.776979582253731 -0.711850730231343 -0.550002022104478 -0.550002022104478 -0.580271534216418 -0.645548895328358 -0.766254143268657 -0.573986286711194 -0.465613602441045 -0.583438073414925 -0.615762857552239 -0.576166944001492 -0.760268383507463 -0.715456226291045 -0.651771071164179 -0.648565587813433 -0.625376991529851 -0.590002821731343 -0.68352449980597 -0.77991651211194
5 "SITTING" 0.277842300926606 -0.0175001529486978 -0.111977673572171 0.673696666360856 0.000889810962079511 0.0722258441976147 0.0749007819691132 0.00675788121969419 -0.0043844175864 -0.0447573584559939 -0.061915767417156 0.0865280580455658 -0.0949943975828746 -0.0455203637587156 -0.0562376079122324 -0.547717302333333 -0.547717302333333 -0.644893855920517 -0.60133611836055 -0.769261963443425 -0.614927612392049 -0.52600127452263 -0.673231515818135 -0.641293229633027 -0.616733993064832 -0.753993072047095 -0.664579755798165 -0.715073092140979 -0.642638024087462 -0.578947851122324 -0.604841559202447 -0.700386298045872 -0.778324594504587 -0.60488854443578 -0.500438942079358 -0.62197628540734 -0.96652970795107 -0.950720089327217 -0.933772281284404 -0.622604391071284 -0.59794463194893 -0.774042213030581 -0.714742592370031 -0.695635937265443 -0.65752078596789 -0.732296539015291 -0.79586968383792 -0.73678353167737 -0.585822939128135 -0.585822939128135 -0.609158219072783 -0.669849890159633 -0.777471856281346 -0.602631691629358 -0.520565371731499 -0.626129122585168 -0.637586600037615 -0.605364911621407 -0.792894902446483 -0.732311420513762 -0.68932888957737 -0.695983191033945 -0.655955266250765 -0.617887674667125 -0.708069100911315 -0.792726094247706
6 "WALKING_UPSTAIRS" 0.274738999594937 -0.0156385789229114 -0.110788463696203 0.640171904556962 0.0395219367670886 0.0465538355025316 0.0843623905518987 0.0119773854874684 -0.0022351029956962 -0.0081075482721519 -0.077149607656962 0.0882855576762025 -0.0825705922658228 -0.0437896340405063 -0.0523195810632911 -0.46626384755443 -0.46626384755443 -0.588234805843038 -0.558643877088608 -0.713905596835443 -0.548195692392405 -0.479993492658228 -0.614349501329114 -0.597339284367089 -0.580226579531646 -0.696608197506329 -0.625877570734177 -0.655143152417722 -0.603229133544304 -0.513869291632911 -0.554147144377215 -0.650635937139241 -0.73380954835443 -0.521002801506329 -0.447964538012658 -0.55763491768481 -0.970111586075949 -0.960386949367089 -0.943173160886076 -0.570151652189873 -0.556942511870886 -0.721178957367089 -0.678490739506329 -0.634014706860759 -0.628925903697468 -0.68078897643038 -0.739969981518987 -0.690708600978481 -0.519838387240506 -0.519838387240506 -0.565712754240506 -0.617810495362025 -0.734504894050633 -0.512251272379747 -0.467654580405696 -0.566207722949367 -0.581188397708861 -0.56236939013038 -0.744698590962025 -0.696870418231646 -0.627677593101266 -0.673489177283544 -0.599528988518987 -0.584564002502532 -0.664175230531646 -0.755161361924051
6 "WALKING_DOWNSTAIRS" 0.279956709840164 -0.0190678101759836 -0.113285683837295 0.679863596213115 0.0156066114808197 0.097924338192541 0.0775782079295082 0.0141388129069262 0.00305542883545082 -0.0509075879577869 -0.0573577409631148 0.0975697085209836 -0.101925813129508 -0.0389920270738934 -0.0527497299792213 -0.542624680436475 -0.542624680436475 -0.635233442097541 -0.616782325182787 -0.755298953409836 -0.608023022668033 -0.53080601197459 -0.667954701405738 -0.640027549712541 -0.61232407242459 -0.737913025594262 -0.676710918941803 -0.703957572578689 -0.641866904790984 -0.577311377856557 -0.605028808140164 -0.692996275643443 -0.774848936241803 -0.594111920480328 -0.513408984609016 -0.626011274115574 -0.964364641680328 -0.963325523090164 -0.949361296434426 -0.624239568929918 -0.590315025854098 -0.759294459006598 -0.729488560404508 -0.681556280447951 -0.658702269239016 -0.721634379655738 -0.782180303069672 -0.733391038532787 -0.590529342816803 -0.590529342816803 -0.613876765925779 -0.659308287172131 -0.773032520168443 -0.590146850698361 -0.536021388181148 -0.634928567451639 -0.641967587793033 -0.594960284161475 -0.77954635252459 -0.747701755729508 -0.674004455553279 -0.697302579086066 -0.663131535964754 -0.629367314286066 -0.697818775479098 -0.787778962143443
7 "WALKING_DOWNSTAIRS" 0.274413563658537 -0.020055079507378 -0.104739858595122 0.664438646222561 -0.00420645275566464 0.108005472678354 0.0767337189310671 -0.00100005654948171 -0.0108255539390335 -0.0173830277542378 -0.0777539622492988 0.0780740363376829 -0.101749633079878 -0.0428319804018293 -0.0522708680944207 -0.547196339934756 -0.547196339934756 -0.657793356570122 -0.602517707003658 -0.766766185278354 -0.626393006036585 -0.539820708801219 -0.677436737525152 -0.663441110129573 -0.632560651313415 -0.758366748280488 -0.656288506804878 -0.713885117097561 -0.647939940507622 -0.593668471946341 -0.630883720619512 -0.694748373542073 -0.788706780423781 -0.608359193976003 -0.516783147185884 -0.619520740114329 -0.964194324359756 -0.95184732402439 -0.932888732652439 -0.646941816966463 -0.611260166138659 -0.77575703547561 -0.703189530661585 -0.68380270539939 -0.664113244737805 -0.720679071170122 -0.799269046882012 -0.74242845060061 -0.598890516135671 -0.598890516135671 -0.637865287249543 -0.650513347531707 -0.785423757292378 -0.602544699757195 -0.536471635765945 -0.621077526548781 -0.661895588866463 -0.614766243046951 -0.791971339496037 -0.720285281057927 -0.671737362018293 -0.701740489115854 -0.666181522394512 -0.65008063533689 -0.683679361515244 -0.797267712829268
